Customer_ID,Age,Tenure,Monthly_Charges,Support_Calls,Late_Payments,Contract,Churn
C0112,68,1,4360,8,4,Monthly,1
C0113,34,26,773,4,2,Yearly,0
C0114,25,14,2513,7,2,Yearly,0
C0115,52,38,4933,1,4,Monthly,1
C0116,52,37,1889,5,2,Monthly,1
C0117,50,11,4066,2,3,Monthly,1
C0118,22,36,665,9,1,Monthly,0
C0119,59,13,2067,4,2,Yearly,0
C0120,56,43,1228,7,2,Yearly,1
C0121,58,3,2543,9,4,Monthly,1
C0122,45,33,4697,0,3,Monthly,1
C0123,24,6,3996,4,1,Monthly,1
C0124,26,50,1278,2,4,Yearly,0
C0125,25,56,713,3,4,Monthly,0
C0126,29,10,4262,1,5,Yearly,1
C0127,51,5,2076,8,3,Yearly,1
C0128,50,23,2948,2,1,Monthly,0
C0129,65,10,3436,1,3,Yearly,1
C0130,40,44,3617,9,1,Monthly,1
C0131,41,2,1091,10,3,Yearly,1
C0132,54,13,3220,8,4,Monthly,1
C0133,52,40,1213,6,4,Monthly,1
C0134,61,2,1435,5,0,Yearly,1
C0135,57,20,4837,0,2,Yearly,0
C0136,39,1,501,4,5,Yearly,1
C0137,44,37,3348,10,3,Monthly,1
C0138,52,9,4544,10,5,Yearly,1
C0139,18,17,2449,2,0,Monthly,0
C0140,52,9,1417,0,2,Yearly,0
C0141,54,11,3674,3,3,Monthly,1
C0142,64,15,2741,1,1,Yearly,0
C0143,31,24,589,1,2,Yearly,0
C0144,20,38,2209,2,4,Yearly,0
C0145,18,55,2669,7,0,Monthly,0
C0146,22,35,4738,7,2,Monthly,1
C0147,43,30,3541,6,2,Yearly,1
C0148,31,31,605,5,4,Monthly,1
C0149,56,49,1386,8,3,Yearly,1
C0150,44,5,927,3,1,Monthly,1
C0151,26,60,2395,0,4,Monthly,0
C0152,32,44,816,7,1,Yearly,0
C0153,32,50,1134,6,3,Monthly,1
C0154,43,14,2425,6,2,Monthly,0
C0155,59,53,2556,2,1,Monthly,1
C0156,30,56,3644,3,0,Monthly,1
C0157,68,11,2770,9,0,Yearly,1
C0158,49,9,1939,8,4,Monthly,1
C0159,56,34,1052,5,3,Yearly,0
C0160,66,12,1215,4,4,Yearly,0
C0161,69,35,4411,2,4,Monthly,1
C0162,49,35,2213,8,5,Yearly,0
C0163,21,1,3889,4,4,Monthly,1
C0164,47,40,1607,4,5,Monthly,0
C0165,54,22,4706,3,0,Yearly,1
C0166,40,60,750,3,0,Monthly,0
C0167,56,29,2930,0,4,Monthly,1
C0168,62,8,2554,6,0,Monthly,1
C0169,32,11,958,8,3,Monthly,1
C0170,60,41,707,2,5,Monthly,0
C0171,46,37,1399,1,5,Yearly,0
C0172,53,14,3961,2,4,Monthly,1
C0173,30,60,3885,0,0,Monthly,1
C0174,49,30,521,5,1,Monthly,1
C0175,24,35,909,10,5,Monthly,1
C0176,68,21,1394,10,4,Monthly,1
C0177,39,37,1014,6,4,Monthly,1
C0178,45,5,4609,10,3,Monthly,1
C0179,19,19,2634,10,2,Monthly,0
C0180,59,59,4095,1,2,Monthly,0
C0181,62,14,3456,7,5,Monthly,1
C0182,23,26,2060,5,3,Yearly,0
C0183,45,4,1766,3,3,Yearly,1
C0184,45,25,2669,4,3,Monthly,1
C0185,61,45,4138,7,5,Yearly,1
C0186,61,42,1249,2,2,Yearly,0
C0187,37,25,3927,2,3,Monthly,1
C0188,47,18,2427,10,0,Monthly,1
C0189,28,40,4304,3,4,Yearly,0
C0190,45,8,4202,0,4,Yearly,1
C0191,42,39,2856,8,1,Monthly,0
C0192,56,40,2835,7,1,Yearly,0
C0193,50,14,806,7,5,Monthly,1
C0194,18,32,4165,9,5,Yearly,1
C0195,44,51,2489,5,4,Yearly,0
C0196,69,38,1161,6,0,Monthly,1
C0197,30,33,811,5,2,Yearly,1
C0198,58,23,3420,8,2,Monthly,1
C0199,20,15,1582,2,5,Yearly,1
C0200,56,33,3471,2,0,Yearly,0
C0201,23,25,1254,2,5,Monthly,1
C0202,25,17,4630,9,2,Monthly,1
C0203,44,33,852,2,5,Monthly,0
C0204,26,47,1402,8,3,Yearly,1
C0205,54,55,4388,3,5,Monthly,1
C0206,50,2,658,6,4,Yearly,1
C0207,68,14,2477,8,5,Monthly,1
C0208,59,53,1456,10,4,Monthly,1
C0209,61,40,2571,6,0,Monthly,1
C0210,41,40,903,8,2,Yearly,1
C0211,32,51,3279,2,1,Yearly,0
C0212,49,39,1887,3,1,Yearly,0
C0213,49,51,3953,7,2,Yearly,1
C0214,41,6,1455,5,1,Yearly,1
C0215,58,6,2212,4,5,Monthly,1
C0216,69,3,1773,3,0,Monthly,1
C0217,66,7,4311,7,0,Monthly,1
C0218,66,51,3125,0,2,Yearly,0
C0219,69,8,2882,8,1,Yearly,1
C0220,29,42,1941,0,5,Monthly,1
C0221,56,52,3479,7,0,Yearly,1
C0222,19,15,2297,3,0,Yearly,0
C0223,20,47,4890,8,3,Monthly,1
C0224,66,29,4509,10,3,Monthly,1
C0225,54,33,1894,4,0,Monthly,0
C0226,66,52,4781,2,2,Monthly,0
C0227,34,30,1769,8,4,Yearly,1
C0228,66,39,4214,10,4,Monthly,1
C0229,19,27,1029,8,5,Monthly,1
C0230,19,36,4123,3,0,Yearly,1
C0231,45,29,3458,10,0,Yearly,1
C0232,40,38,3414,3,0,Yearly,0
C0233,54,57,4091,7,2,Monthly,1
C0234,49,33,2647,1,3,Monthly,1
C0235,50,37,3869,8,0,Yearly,1
C0236,18,27,1439,5,0,Monthly,1
C0237,36,55,1025,8,1,Monthly,1
C0238,19,33,501,7,2,Monthly,1
C0239,61,4,874,6,5,Monthly,1
C0240,43,22,2840,0,0,Monthly,0
C0241,49,2,4505,2,1,Monthly,1
C0242,23,10,3552,10,4,Monthly,1
C0243,49,5,2865,1,5,Monthly,1
C0244,21,59,2025,4,0,Monthly,0
C0245,28,10,4976,4,0,Monthly,1
C0246,34,33,2146,4,1,Yearly,0
C0247,55,54,513,3,2,Monthly,0
C0248,41,38,2778,4,0,Monthly,1
C0249,22,13,3655,2,4,Monthly,1
C0250,69,31,629,0,0,Monthly,0
C0251,51,47,4314,4,4,Monthly,1
C0252,23,36,3716,8,5,Monthly,1
C0253,39,45,3438,8,5,Yearly,1
C0254,28,24,4428,3,3,Monthly,1
C0255,65,52,2540,2,3,Monthly,0
C0256,33,56,527,0,4,Yearly,0
C0257,50,15,2613,1,2,Monthly,0
C0258,26,29,1752,7,0,Monthly,1
C0259,23,8,4856,0,0,Monthly,1
C0260,33,5,2546,7,3,Yearly,1
C0261,46,29,4523,6,4,Monthly,1
C0262,20,47,4896,7,0,Monthly,1
C0263,37,4,3874,5,0,Monthly,1
C0264,53,12,3966,8,2,Yearly,0
C0265,36,45,3581,2,1,Monthly,1
C0266,43,2,4278,9,3,Yearly,1
C0267,20,27,1129,3,3,Monthly,1
C0268,36,31,769,5,1,Yearly,1
C0269,37,51,3139,7,0,Yearly,1
C0270,49,51,2493,4,2,Monthly,0
C0271,24,36,3391,2,2,Monthly,1
C0272,69,36,3932,5,3,Monthly,1
C0273,58,26,1780,3,2,Monthly,1
C0274,50,43,2860,8,5,Yearly,1
C0275,57,27,1075,2,1,Monthly,0
C0276,56,5,1807,3,0,Monthly,1
C0277,35,20,3692,6,5,Monthly,1
C0278,57,11,3678,6,1,Yearly,1
C0279,18,10,3234,3,4,Monthly,1
C0280,28,40,2712,5,3,Monthly,1
C0281,45,38,2852,2,2,Monthly,1
C0282,42,6,4068,5,4,Yearly,1
C0283,67,8,2155,1,2,Monthly,1
C0284,40,23,2079,7,5,Monthly,1
C0285,48,47,2703,1,0,Monthly,0
C0286,47,26,1890,10,0,Monthly,1
C0287,59,46,2242,6,0,Monthly,1
C0288,52,43,2425,8,2,Yearly,0
C0289,24,12,1119,0,4,Yearly,0
C0290,33,26,1774,7,0,Monthly,0
C0291,43,13,1456,6,4,Yearly,0
C0292,65,40,2439,5,2,Monthly,1
C0293,69,18,4453,5,5,Yearly,1
C0294,66,25,2881,5,4,Yearly,1
C0295,19,33,1468,8,5,Monthly,1
C0296,18,47,1816,1,2,Yearly,0
C0297,65,40,1543,0,2,Monthly,0
C0298,29,60,781,5,3,Monthly,1
C0299,22,43,3344,9,2,Monthly,1
C0300,54,12,1558,10,2,Monthly,1
C0301,49,44,4793,7,1,Yearly,0
C0302,26,36,3032,2,0,Yearly,1
C0303,58,48,4328,9,3,Monthly,1
C0304,52,4,1508,0,3,Yearly,1
C0305,36,5,1729,8,3,Yearly,1
C0306,65,56,1535,0,1,Monthly,0
C0307,33,37,775,2,5,Monthly,1
C0308,20,8,3240,7,2,Monthly,1
C0309,37,42,2789,2,0,Yearly,0
C0310,41,49,1739,3,4,Yearly,0
C0311,50,28,625,7,5,Monthly,1
C0312,41,31,4565,0,2,Yearly,0
C0313,69,58,4812,5,1,Monthly,1
C0314,28,9,4368,0,2,Monthly,1
C0315,66,54,1708,0,2,Monthly,0
C0316,25,51,3749,7,1,Monthly,1
C0317,53,29,1418,10,3,Monthly,1
C0318,55,14,4423,3,3,Monthly,1
C0319,57,40,4903,0,0,Monthly,1
C0320,37,41,2469,9,0,Monthly,0
C0321,52,22,3293,6,3,Monthly,1
C0322,65,11,1391,4,5,Yearly,1
C0323,42,23,4970,4,4,Monthly,1
C0324,52,1,2533,0,2,Yearly,1
C0325,42,46,1864,9,4,Monthly,1
C0326,46,37,628,10,2,Monthly,1
C0327,35,21,1514,5,3,Yearly,0
C0328,63,26,2299,8,0,Monthly,0
C0329,35,46,2018,8,5,Monthly,1
C0330,19,36,4681,7,0,Yearly,1
C0331,52,54,1698,4,4,Monthly,0
C0332,33,23,4373,0,0,Monthly,1
C0333,58,57,2974,8,3,Monthly,1
C0334,53,1,3985,0,5,Monthly,1
C0335,50,54,4549,7,4,Monthly,1
C0336,21,55,4219,4,5,Monthly,1
C0337,50,51,802,2,2,Yearly,0
C0338,31,40,4452,10,0,Yearly,1
C0339,38,15,1486,6,5,Yearly,1
C0340,65,21,2363,6,1,Monthly,1
C0341,37,47,4940,8,0,Yearly,1
C0342,25,9,3572,6,2,Monthly,1
C0343,24,53,3624,10,5,Yearly,1
C0344,20,9,1827,2,4,Yearly,1
C0345,34,10,2908,10,2,Yearly,1
C0346,50,52,4173,0,1,Monthly,1
C0347,65,57,3791,7,5,Monthly,1
C0348,29,53,4533,2,3,Monthly,1
C0349,68,26,1203,7,0,Yearly,0
C0350,39,41,1074,7,4,Monthly,1
C0351,39,35,3732,4,3,Yearly,1
C0352,63,52,3132,0,5,Monthly,1
C0353,47,25,4328,9,5,Monthly,1
C0354,55,26,3730,6,2,Monthly,1
C0355,55,11,988,9,5,Monthly,1
C0356,62,38,1847,4,4,Monthly,0
C0357,68,2,4181,7,3,Monthly,1
C0358,25,7,3673,8,4,Yearly,1
C0359,44,18,2167,10,1,Monthly,1
C0360,44,27,2137,6,1,Monthly,1
C0361,51,34,4614,6,0,Yearly,0
C0362,38,27,4053,0,0,Yearly,0
C0363,47,17,1500,3,1,Yearly,0
C0364,50,43,1350,1,5,Monthly,1
C0365,45,59,1888,1,4,Yearly,0
C0366,64,44,4212,1,1,Yearly,1
C0367,50,59,1867,3,0,Monthly,0
C0368,22,51,1321,0,1,Monthly,1
C0369,65,54,954,3,5,Monthly,1
C0370,36,24,2124,1,1,Monthly,0
C0371,21,25,3272,4,4,Yearly,0
C0372,52,7,4226,2,3,Monthly,1
C0373,66,52,3647,7,5,Yearly,1
C0374,34,6,4589,3,0,Monthly,1
C0375,61,53,2690,0,4,Monthly,1
C0376,45,24,1416,0,1,Monthly,0
C0377,47,33,4486,9,1,Monthly,1
C0378,46,49,3375,2,3,Yearly,0
C0379,63,29,1940,8,0,Yearly,0
C0380,23,43,4900,6,0,Monthly,1
C0381,52,22,1235,1,2,Monthly,0
C0382,58,26,4068,8,0,Monthly,1
C0383,54,28,3838,9,3,Yearly,1
C0384,41,50,3515,1,2,Monthly,0
C0385,46,21,3389,2,2,Monthly,0
C0386,66,49,1461,10,1,Monthly,1
C0387,63,7,3489,9,1,Yearly,1
C0388,48,17,4348,1,0,Monthly,0
C0389,52,20,1526,2,2,Monthly,0
C0390,50,41,4365,5,1,Yearly,1
C0391,69,49,3363,8,3,Monthly,1
C0392,38,20,3001,8,1,Monthly,1
C0393,49,54,2447,6,5,Yearly,0
C0394,40,22,1677,2,5,Yearly,0
C0395,50,28,511,3,1,Monthly,1
C0396,20,40,4899,5,2,Monthly,1
C0397,35,49,3864,10,2,Monthly,1
C0398,42,7,3522,4,4,Yearly,1
C0399,59,1,3871,1,5,Monthly,1
C0400,48,32,3330,5,3,Yearly,1
C0401,20,13,542,2,2,Monthly,0
C0402,57,30,1443,7,0,Monthly,0
C0403,63,23,2890,1,5,Yearly,1
C0404,41,51,3045,0,3,Yearly,0
C0405,67,59,2911,8,3,Monthly,1
C0406,49,56,1504,2,2,Monthly,0
C0407,64,19,520,10,3,Monthly,1
C0408,39,32,906,0,2,Yearly,0
C0409,40,30,1514,6,1,Yearly,0
C0410,19,29,4931,9,5,Monthly,1
C0411,44,49,2338,4,4,Yearly,0
C0412,59,45,3688,4,1,Monthly,1
C0413,19,29,1214,0,5,Monthly,0
C0414,43,30,4646,8,2,Monthly,1
C0415,34,16,4354,6,5,Monthly,1
C0416,57,40,4919,7,2,Monthly,1
C0417,50,19,640,8,1,Monthly,1
C0418,26,18,1463,5,0,Monthly,1
C0419,60,1,872,4,0,Yearly,0
C0420,65,14,4135,5,5,Monthly,1
C0421,56,51,3041,10,0,Monthly,1
C0422,46,47,4110,1,2,Monthly,0
C0423,59,50,2192,3,3,Yearly,0
C0424,43,2,605,2,2,Monthly,1
C0425,52,54,2181,6,3,Monthly,1
C0426,67,28,4597,8,1,Yearly,0
C0427,42,49,4516,4,4,Monthly,1
C0428,41,50,3136,5,3,Monthly,1
C0429,30,30,2637,9,0,Yearly,0
C0430,24,38,3916,1,2,Monthly,1
C0431,53,51,4945,2,1,Monthly,0
C0432,62,4,4030,2,0,Monthly,1
C0433,37,1,1786,8,1,Monthly,1
C0434,18,8,3679,6,4,Monthly,1
C0435,25,29,4154,7,2,Monthly,1
C0436,63,55,2859,10,5,Monthly,1
C0437,33,39,944,9,2,Monthly,1
C0438,31,3,535,10,4,Yearly,1
C0439,29,32,1975,8,2,Monthly,1
C0440,68,10,4457,5,5,Monthly,1
C0441,40,10,2298,3,3,Yearly,1
C0442,32,19,2345,0,1,Yearly,0
C0443,45,46,1908,7,5,Monthly,1
C0444,51,34,2208,6,0,Yearly,0
C0445,19,60,3438,1,4,Monthly,1
C0446,49,33,1800,7,3,Monthly,1
C0447,40,23,1743,4,0,Yearly,0
C0448,39,55,4476,6,0,Monthly,1
C0449,68,28,3597,3,4,Monthly,1
C0450,42,32,509,4,3,Monthly,1
C0451,39,50,2925,7,0,Monthly,1
C0452,39,7,2160,0,0,Monthly,0
C0453,66,29,3131,0,3,Yearly,0
C0454,69,8,1572,3,2,Monthly,0
C0455,59,1,3725,2,0,Yearly,1
C0456,23,57,1816,9,1,Monthly,1
C0457,32,55,4645,1,3,Yearly,0
C0458,60,3,4183,2,0,Yearly,1
C0459,54,24,3773,10,4,Yearly,1
C0460,50,23,645,10,5,Monthly,1
C0461,25,59,3540,10,1,Monthly,1
C0462,61,8,1962,0,5,Monthly,1
C0463,61,54,2084,0,5,Yearly,0
C0464,22,57,982,5,0,Yearly,1
C0465,56,47,3679,4,1,Monthly,1
C0466,21,37,1749,7,1,Monthly,1
C0467,23,3,1130,1,2,Monthly,1
C0468,62,51,1161,3,5,Monthly,1
C0469,49,33,4003,7,1,Monthly,1
C0470,69,28,3352,5,2,Yearly,1
C0471,47,47,2966,0,3,Yearly,0
C0472,64,8,1487,3,2,Monthly,1
C0473,52,34,2046,0,4,Monthly,1
C0474,57,35,1149,1,0,Monthly,0
C0475,69,32,1468,4,3,Monthly,1
C0476,33,24,3137,7,3,Monthly,1
C0477,30,14,1600,7,4,Monthly,1
C0478,67,32,940,10,2,Yearly,0
C0479,59,56,1269,2,0,Monthly,0
C0480,47,46,1843,10,2,Monthly,1
C0481,36,43,4858,3,1,Yearly,1
C0482,34,16,4229,9,2,Yearly,0
C0483,36,4,4406,10,3,Monthly,1
C0484,45,52,2077,5,0,Monthly,1
C0485,43,37,4508,10,2,Monthly,1
C0486,54,54,3851,10,0,Yearly,0
C0487,43,21,2849,9,0,Yearly,1
C0488,40,14,4102,2,1,Yearly,1
C0489,26,31,1741,1,1,Monthly,0
C0490,29,55,1625,5,3,Yearly,1
C0491,18,48,3101,10,4,Monthly,1
C0492,18,18,1690,4,0,Monthly,0
C0493,64,7,4631,9,4,Monthly,1
C0494,51,10,4948,4,3,Monthly,1
C0495,49,7,572,9,0,Monthly,1
C0496,65,33,2414,4,0,Yearly,0
C0497,42,23,2972,9,5,Yearly,0
C0498,57,21,3546,4,4,Monthly,1
C0499,62,19,1207,2,2,Monthly,1
C0500,18,48,2304,6,1,Monthly,1
C0501,33,19,4213,5,2,Monthly,1
C0502,56,36,3064,3,4,Monthly,1
C0503,22,29,2975,1,1,Yearly,0
C0504,39,60,4110,8,2,Monthly,1
C0505,46,18,4755,0,5,Monthly,1
C0506,20,2,3323,10,1,Monthly,1
C0507,29,1,2235,3,0,Yearly,0
C0508,43,47,2085,0,2,Yearly,0
C0509,33,5,566,5,1,Yearly,0
C0510,68,20,3561,3,5,Yearly,1
C0511,54,11,2928,4,1,Monthly,1
C0512,39,42,4653,4,1,Monthly,1
C0513,46,2,841,8,5,Yearly,1
C0514,31,3,3274,0,2,Monthly,1
C0515,45,23,3317,1,3,Monthly,1
C0516,22,55,3161,5,2,Monthly,1
C0517,64,12,1732,4,4,Monthly,1
C0518,66,20,4374,10,5,Monthly,1
C0519,47,5,2901,6,2,Monthly,1
C0520,63,37,1994,2,1,Yearly,0
C0521,69,38,4711,2,5,Monthly,1
C0522,22,30,1161,9,0,Monthly,1
C0523,29,9,4383,1,2,Monthly,1
C0524,33,34,4119,2,5,Monthly,1
C0525,43,53,2368,9,2,Monthly,1
C0526,43,44,2834,0,5,Monthly,1
C0527,65,35,3874,4,1,Monthly,1
C0528,38,52,1516,4,0,Monthly,0
C0529,56,58,4906,10,0,Monthly,1
C0530,53,22,707,6,4,Monthly,1
C0531,50,44,3165,3,5,Monthly,1
C0532,47,24,2993,2,2,Monthly,1
C0533,54,17,1132,0,0,Monthly,1
C0534,40,10,2602,7,0,Monthly,1
C0535,27,30,3459,2,3,Monthly,1
C0536,22,56,3583,1,3,Monthly,1
C0537,53,59,2431,10,0,Monthly,1
C0538,51,46,4219,3,5,Yearly,1
C0539,69,23,3062,2,4,Yearly,0
C0540,48,32,2179,0,0,Yearly,0
C0541,27,17,736,2,1,Yearly,0
C0542,36,50,4943,1,2,Monthly,0
C0543,49,51,2040,7,4,Yearly,1
C0544,18,17,4443,5,1,Monthly,1
C0545,22,14,863,8,4,Monthly,1
C0546,62,9,2868,7,1,Monthly,1
C0547,21,40,785,9,2,Monthly,0
C0548,33,2,648,2,2,Yearly,1
C0549,41,45,4537,4,3,Monthly,1
C0550,33,25,2266,6,5,Yearly,0
C0551,19,39,1512,4,1,Monthly,1
C0552,66,9,3331,7,3,Monthly,1
C0553,45,54,3007,4,1,Monthly,1
C0554,49,22,2023,0,3,Monthly,1
C0555,44,43,3285,4,2,Yearly,0
C0556,37,46,3056,3,4,Monthly,1
C0557,41,4,4225,5,3,Monthly,1
C0558,29,26,2101,2,1,Yearly,0
C0559,67,58,2908,10,1,Monthly,0
C0560,52,29,840,4,5,Yearly,1
C0561,50,45,3317,1,2,Monthly,1
C0562,50,34,2996,10,1,Monthly,1
C0563,68,23,2225,5,0,Monthly,0
C0564,60,37,2189,5,4,Monthly,1
C0565,54,11,3767,4,3,Monthly,1
C0566,29,6,4906,5,5,Monthly,1
C0567,20,18,761,10,4,Yearly,1
C0568,18,21,1942,6,2,Yearly,0
C0569,50,42,905,4,5,Monthly,1
C0570,57,36,2690,0,3,Monthly,1
C0571,27,41,4937,7,3,Monthly,1
C0572,60,38,743,3,0,Monthly,1
C0573,61,34,4607,8,2,Yearly,1
C0574,46,17,1060,9,5,Monthly,1
C0575,30,37,4637,5,5,Monthly,1
C0576,29,25,3225,0,1,Monthly,0
C0577,48,38,1093,2,0,Yearly,0
C0578,63,58,2326,2,0,Monthly,0
C0579,19,12,3729,9,5,Monthly,1
C0580,68,23,3787,3,5,Monthly,1
C0581,67,53,4573,5,4,Monthly,1
C0582,52,42,633,6,4,Monthly,1
C0583,40,22,3638,9,4,Monthly,1
C0584,34,21,4419,3,0,Yearly,1
C0585,43,27,572,5,1,Monthly,0
C0586,25,57,4994,10,3,Monthly,1
C0587,46,31,4725,0,4,Yearly,1
C0588,43,6,3478,7,1,Yearly,1
C0589,27,27,4861,6,2,Monthly,1
C0590,43,40,2485,10,4,Monthly,1
C0591,51,34,1292,10,3,Monthly,1
C0592,68,12,4759,8,2,Yearly,0
C0593,58,45,594,2,2,Monthly,1
C0594,24,57,1633,1,3,Monthly,1
C0595,21,53,737,0,4,Monthly,1
C0596,67,7,3446,2,0,Monthly,1
C0597,62,10,3030,4,3,Monthly,1
C0598,28,45,2460,10,3,Monthly,1
C0599,46,17,1548,1,3,Monthly,1
C0600,53,26,3029,2,2,Monthly,1
C0601,42,21,3464,3,1,Monthly,0
C0602,38,28,1463,6,0,Monthly,1
C0603,53,58,1036,2,4,Monthly,0
C0604,27,46,4723,8,4,Monthly,1
C0605,54,2,4179,7,1,Monthly,1
C0606,26,60,4687,3,3,Yearly,0
C0607,41,54,4224,0,0,Yearly,0
C0608,52,43,1042,0,4,Yearly,0
C0609,66,1,1345,0,5,Monthly,1
C0610,52,51,4103,0,4,Monthly,1
C0611,65,53,3536,7,3,Monthly,1
C0612,53,36,2994,2,5,Monthly,0
C0613,35,51,4985,5,1,Monthly,1
C0614,66,26,3219,2,0,Yearly,0
C0615,56,29,2384,10,1,Monthly,1
C0616,49,21,4638,4,1,Monthly,1
C0617,41,11,4849,6,0,Yearly,1
C0618,40,40,3701,1,0,Yearly,0
C0619,49,11,3210,5,4,Yearly,1
C0620,54,36,2453,5,4,Monthly,1
C0621,29,49,4350,10,0,Monthly,1
C0622,66,59,1189,2,5,Monthly,1
C0623,30,39,2450,5,2,Monthly,0
C0624,40,40,956,9,4,Monthly,1
C0625,42,35,2630,9,2,Monthly,0
C0626,52,54,4476,4,5,Yearly,0
C0627,58,34,4744,1,0,Monthly,0
C0628,47,55,1679,8,5,Yearly,1
C0629,34,47,4785,7,4,Yearly,1
C0630,66,24,4065,2,1,Monthly,1
C0631,37,54,1382,7,0,Yearly,0
C0632,65,22,899,8,3,Monthly,1
C0633,42,5,1108,2,2,Monthly,1
C0634,39,56,2138,2,5,Yearly,1
C0635,30,33,2648,1,0,Monthly,1
